Period,Payment Date,tau_i,Fwd EURIBOR %,Coupon Rate %,Z_rf,Q(T_{i-1}),Q(T_i),dQ,CVA_i EUR
6,2025-12-12,0.0959,2.029,3.2464,0.998136,1.0,0.99938,0.00062,0.3711
7,2026-03-12,0.3425,2.1175,3.3879,0.99288,0.99938,0.997789,0.001591,0.9481
8,2026-06-12,0.5945,2.2119,3.539,0.987299,0.997789,0.996165,0.001624,0.9621
9,2026-09-14,0.8521,2.0394,3.2631,0.98207,0.996165,0.994508,0.001657,0.9762
10,2026-12-14,1.1014,2.0251,3.2401,0.977068,0.994508,0.992907,0.001601,0.9387
11,2027-03-12,1.3425,2.0649,3.3038,0.972161,0.992907,0.991361,0.001546,0.9018
12,2027-06-14,1.6,2.0906,3.3449,0.966883,0.991361,0.989712,0.001649,0.9565
13,2027-09-13,1.8493,2.1482,3.4372,0.961661,0.989712,0.988118,0.001594,0.9195
14,2027-12-13,2.0986,2.1763,3.4821,0.9564,0.988118,0.986527,0.001591,0.913
15,2028-03-13,2.3479,2.2148,3.5436,0.951075,0.986527,0.984939,0.001588,0.9064
16,2028-06-12,2.5973,2.239,3.5824,0.945723,0.984939,0.983353,0.001586,0.8999
17,2028-09-12,2.8493,2.2634,3.6215,0.940284,0.983353,0.981752,0.001601,0.9031
18,2028-12-12,3.0986,2.3359,3.7374,0.934764,0.981752,0.980172,0.001581,0.8866
19,2029-03-12,3.3452,2.4509,3.9214,0.929072,0.980172,0.978611,0.001561,0.8701
20,2029-06-12,3.5973,2.4955,3.9928,0.923184,0.978611,0.977018,0.001593,0.8824
21,2029-09-12,3.8493,2.5404,4.0646,0.91723,0.977018,0.975428,0.00159,0.8752
22,2029-12-12,4.0986,2.5534,4.0854,0.911347,0.975428,0.973857,0.001571,0.8588
23,2030-03-12,4.3452,2.54,4.064,0.905597,0.973857,0.972306,0.001551,0.8426
24,2030-06-12,4.5973,2.5746,4.1194,0.899677,0.972306,0.970723,0.001583,0.8544
25,2030-09-12,4.8493,2.6094,4.1751,0.893717,0.970723,0.969143,0.00158,0.8473
26,2030-12-12,5.0986,2.6399,4.2238,0.887793,0.969143,0.967583,0.00156,0.8312
27,2031-03-12,5.3452,2.6668,4.2668,0.881914,0.967583,0.966042,0.001541,0.8153
28,2031-06-12,5.5973,2.7004,4.3206,0.875869,0.966042,0.96447,0.001573,0.8264
29,2031-09-12,5.8493,2.7341,4.3746,0.869792,0.96447,0.9629,0.00157,0.8193
30,2031-12-12,6.0986,2.7639,4.4222,0.863757,0.9629,0.961349,0.00155,0.8035
31,2032-03-12,6.3479,2.7908,4.4653,0.857706,0.961349,0.959801,0.001548,0.7966
32,2032-06-14,6.6055,2.8243,4.5189,0.851428,0.959801,0.958205,0.001596,0.8155
33,2032-09-13,6.8548,2.8571,4.5714,0.845323,0.958205,0.956662,0.001543,0.7825
34,2032-12-13,7.1041,2.8807,4.6091,0.839212,0.956662,0.955122,0.00154,0.7756
35,2033-03-14,7.3534,2.8977,4.6363,0.833109,0.955122,0.953584,0.001538,0.7687
36,2033-06-13,7.6027,2.9287,4.6859,0.826987,0.953584,0.952049,0.001535,0.7618
37,2033-09-12,7.8521,2.9596,4.7354,0.820846,0.952049,0.950516,0.001533,0.755
38,2033-12-12,8.1014,2.9863,4.7781,0.814696,0.950516,0.948985,0.00153,0.7481
39,2034-03-13,8.3507,3.0099,4.8158,0.808544,0.948985,0.947457,0.001528,0.7413
40,2034-06-12,8.6,3.0402,4.8643,0.802378,0.947457,0.945932,0.001526,0.7344
Principal,2034-06-12,8.6,,,0.802378,0.945932,0.945932,0.0,0.0
