"Date","Price","Open","High","Low","Change %"
"11/05/2025","38.78","38.78","38.78","38.61","0.02%"
"11/04/2025","38.78","38.78","38.95","38.78","1.06%"
"11/03/2025","38.37","38.37","38.37","38.36","0.66%"
"10/31/2025","38.12","38.12","38.29","38.12","1.81%"
"10/30/2025","37.44","37.44","37.78","37.44","-0.03%"
"10/29/2025","37.45","37.45","37.45","37.28","-0.72%"
"10/28/2025","37.72","37.72","37.72","37.72","-1.44%"
"10/27/2025","38.28","38.28","38.28","37.79","-2.38%"
"10/24/2025","39.21","39.21","39.21","39.03","-0.62%"
"10/23/2025","39.46","39.46","39.46","39.44","-0.24%"
"10/22/2025","39.55","39.55","39.55","39.55","1.09%"
"10/21/2025","39.13","38.79","39.13","38.79","0.23%"
"10/20/2025","39.03","39.70","39.70","39.03","-2.10%"
"10/17/2025","39.87","39.56","39.87","39.56","1.23%"
"10/16/2025","39.39","38.87","39.39","38.87","1.83%"
"10/15/2025","38.68","39.17","39.17","38.68","-4.79%"
"10/14/2025","40.63","41.12","41.12","40.63","-0.83%"
"10/13/2025","40.97","41.12","41.12","40.97","-1.21%"
"10/10/2025","41.47","41.12","41.47","41.12","1.28%"
"10/09/2025","40.94","40.78","40.94","40.78","3.52%"
"10/08/2025","39.55","39.70","39.70","39.55","-1.43%"
"10/07/2025","40.12","39.96","40.12","39.96","1.71%"
"10/06/2025","39.45","39.28","39.45","39.28","1.01%"
"10/03/2025","39.06","39.06","39.06","39.06","-0.17%"
"10/02/2025","39.12","39.45","39.45","39.12","-1.68%"
"10/01/2025","39.79","39.95","39.95","39.79","-2.05%"
"09/30/2025","40.62","40.62","40.62","40.62","-1.82%"
"09/29/2025","41.38","41.54","41.54","41.38","-0.39%"
"09/26/2025","41.54","41.86","41.86","41.54","-1.17%"
"09/25/2025","42.03","41.72","42.03","41.72","1.42%"
"09/24/2025","41.45","41.28","41.45","41.28","1.64%"
"09/23/2025","40.78","40.78","40.78","40.78","-4.14%"
"09/22/2025","42.54","42.44","42.54","42.44","13.89%"
"09/19/2025","37.35","37.35","37.35","37.35","0.22%"
"09/18/2025","37.27","37.44","37.44","37.27","-0.90%"
"09/17/2025","37.60","37.61","37.61","37.60","-0.89%"
"09/16/2025","37.94","37.77","37.94","37.77","1.34%"
"09/15/2025","37.44","37.61","37.61","37.44","-0.41%"
"09/12/2025","37.59","37.60","37.60","37.59","-1.57%"
"09/11/2025","38.19","38.87","38.87","38.19","-2.33%"
"09/10/2025","39.10","39.27","39.27","39.10","-1.65%"
"09/09/2025","39.76","41.29","42.62","41.29","-0.86%"
"09/08/2025","40.10","40.26","40.26","40.10","-1.65%"
"09/05/2025","40.78","40.77","40.78","40.77","0.03%"
"09/04/2025","40.77","41.27","41.27","40.77","-4.37%"
"09/03/2025","42.63","43.11","43.11","42.63","-2.75%"
"09/02/2025","43.84","43.51","43.84","43.51","3.94%"
"09/01/2025","42.17","42.18","42.18","42.17","-2.38%"
"08/29/2025","43.20","42.70","43.20","42.70","2.11%"
"08/28/2025","42.31","42.83","42.83","42.31","-1.26%"
"08/27/2025","42.85","42.85","42.85","41.85","2.29%"
