Period,Payment_Date,Days,DF,Coupon_EUR,PV_EUR
7,2026-03-12,125,0.99288,13.625,13.528
8,2026-06-12,217,0.987299,13.625,13.452
9,2026-09-14,311,0.98207,13.625,13.3807
10,2026-12-14,402,0.977068,13.625,13.3126
11,2027-03-12,490,0.972161,13.625,13.2457
12,2027-06-14,584,0.966883,13.625,13.1738
13,2027-09-13,675,0.961661,13.625,13.1026
14,2027-12-13,766,0.9564,13.625,13.0309
15,2028-03-13,857,0.951075,13.625,12.9584
16,2028-06-12,948,0.945723,13.625,12.8855
17,2028-09-12,1040,0.940284,13.625,12.8114
18,2028-12-12,1131,0.934764,13.625,12.7362
19,2029-03-12,1221,0.929072,13.625,12.6586
20,2029-06-12,1313,0.923184,13.625,12.5784
21,2029-09-12,1405,0.91723,13.625,12.4973
22,2029-12-12,1496,0.911347,13.625,12.4171
23,2030-03-12,1586,0.905597,13.625,12.3388
24,2030-06-12,1678,0.899677,13.625,12.2581
25,2030-09-12,1770,0.893717,13.625,12.1769
26,2030-12-12,1861,0.887793,13.625,12.0962
27,2031-03-12,1951,0.881914,13.625,12.0161
28,2031-06-12,2043,0.875869,13.625,11.9337
29,2031-09-12,2135,0.869792,13.625,11.8509
30,2031-12-12,2226,0.863757,13.625,11.7687
31,2032-03-12,2317,0.857706,13.625,11.6863
32,2032-06-14,2411,0.851428,13.625,11.6007
33,2032-09-13,2502,0.845323,13.625,11.5175
34,2032-12-13,2593,0.839212,13.625,11.4343
35,2033-03-14,2684,0.833109,13.625,11.3511
36,2033-06-13,2775,0.826987,13.625,11.2677
37,2033-09-12,2866,0.820846,13.625,11.184
38,2033-12-12,2957,0.814696,13.625,11.1002
39,2034-03-13,3048,0.808544,13.625,11.0164
40,2034-06-12,3139,0.802378,13.625,10.9324
