Payment Date,tau_i,Z_rf,Q(T_{i-1}),Q(T_i),dQ,CVA_i EUR
2025-12-12,0.0959,0.998136,1.0,0.99938,0.00062,0.3711
2026-03-12,0.3425,0.99288,0.99938,0.997789,0.001591,0.9481
2026-06-12,0.5945,0.987299,0.997789,0.996165,0.001624,0.9621
2026-09-14,0.8521,0.98207,0.996165,0.994508,0.001657,0.9762
2026-12-14,1.1014,0.977068,0.994508,0.992907,0.001601,0.9387
2027-03-12,1.3425,0.972161,0.992907,0.991361,0.001546,0.9018
2027-06-14,1.6,0.966883,0.991361,0.989712,0.001649,0.9565
2027-09-13,1.8493,0.961661,0.989712,0.988118,0.001594,0.9195
2027-12-13,2.0986,0.9564,0.988118,0.986527,0.001591,0.913
2028-03-13,2.3479,0.951075,0.986527,0.984939,0.001588,0.9064
2028-06-12,2.5973,0.945723,0.984939,0.983353,0.001586,0.8999
2028-09-12,2.8493,0.940284,0.983353,0.981752,0.001601,0.9031
2028-12-12,3.0986,0.934764,0.981752,0.980172,0.001581,0.8866
2029-03-12,3.3452,0.929072,0.980172,0.978611,0.001561,0.8701
2029-06-12,3.5973,0.923184,0.978611,0.977018,0.001593,0.8824
2029-09-12,3.8493,0.91723,0.977018,0.975428,0.00159,0.8752
2029-12-12,4.0986,0.911347,0.975428,0.973857,0.001571,0.8588
2030-03-12,4.3452,0.905597,0.973857,0.972306,0.001551,0.8426
2030-06-12,4.5973,0.899677,0.972306,0.970723,0.001583,0.8544
2030-09-12,4.8493,0.893717,0.970723,0.969143,0.00158,0.8473
2030-12-12,5.0986,0.887793,0.969143,0.967583,0.00156,0.8312
2031-03-12,5.3452,0.881914,0.967583,0.966042,0.001541,0.8153
2031-06-12,5.5973,0.875869,0.966042,0.96447,0.001573,0.8264
2031-09-12,5.8493,0.869792,0.96447,0.9629,0.00157,0.8193
2031-12-12,6.0986,0.863757,0.9629,0.961349,0.00155,0.8035
2032-03-12,6.3479,0.857706,0.961349,0.959801,0.001548,0.7966
2032-06-14,6.6055,0.851428,0.959801,0.958205,0.001596,0.8155
2032-09-13,6.8548,0.845323,0.958205,0.956662,0.001543,0.7825
2032-12-13,7.1041,0.839212,0.956662,0.955122,0.00154,0.7756
2033-03-14,7.3534,0.833109,0.955122,0.953584,0.001538,0.7687
2033-06-13,7.6027,0.826987,0.953584,0.952049,0.001535,0.7618
2033-09-12,7.8521,0.820846,0.952049,0.950516,0.001533,0.755
2033-12-12,8.1014,0.814696,0.950516,0.948985,0.00153,0.7481
2034-03-13,8.3507,0.808544,0.948985,0.947457,0.001528,0.7413
2034-06-12,8.6,0.802378,0.947457,0.945932,0.001526,0.7344
2034-06-12,8.6,0.802378,0.945932,0.945932,0.0,0.0
